Чек-листы lady-maria;;;;;;
Номер ;Чеклист;Чеклисты;Статус ;Комментарий;;
1;Регистрация ;Регистрация покупателя;Fail;Заведен 1 баг с полетевшей версткой в поле «Контактный телефон»;;
2;;Ввод валидных значений в поле «Контактное лицо ФИО» при регистрации;Pass;;;
3;;Ввод граничных значений в поле «Контактное лицо ФИО» при регистрации;Раss/Fail;Заведен 1 баг-фича с некорректным решением для ограничения значений в поле «ФИО»;;
4;;Отсутствие данных  в поле «Контактное лицо ФИО» при регистрации;Pass;;;
5;;Ввод валидных значений в поле «Контактный телефон» при регистрации;Pass;;;
6;;Ввод невалидных значений в поле «Контактный телефон» при регистрации;Pass;;;
7;;Ввод граничных значений в поле «Контактный телефон» при регистрации;Pass;;;
8;;Отсутствие данных  в поле «Контактный телефон» при;Pass;;;
9;;Ввод валидных значений в поле «email» при регистрации;Fail;Заведен 1 баг с неправильным поведением системы при вводе неавторизованного email в авторизованный аккаунт;;
10;;Ввод невалидных значений в поле «email» при регистрации;Pass;;;
11;;Отсутствие данных  в поле «email» при регистрации;Pass;;;
12;;Ввод валидных значений в поле «Пароль» при регистрации;Pass;;;
13;;Ввод граничных значений в поле «Пароль» при регистрации;Pass;;;
14;;Отсутствие данных  в поле «Пароль» при регистрации;Раss/Fail;Заведен 1 баг-фича  с Отсутствием оповещения о незаполненном поле «пароль» при регистрации;;
15;;Ввод действительного пароля в поле ввода «подтвердите пароль» при регистрации;Pass;;;
16;;Ввод недействительного пароля в поле ввода «подтвердите пароль» при регистрации;Pass;;;
17;;Отсутствие данных  в поле «подтвердите пароль» при регистрации;Раss/Fail;Заведен 1 баг-фича  с Отсутствием оповещения о незаполненном поле «Подтвердить пароль» при регистрации;;
18;;Регистрация уже авторизованного пользователя;Pass;;;
19;;Авторизация зарегистрированного пользователя по телефону;Fail;Заведен 1 баг с несоответствующим поведением системы при авторизации зарегистрированного пользователя по телефону;;
20;;Авторизация зарегистрированного пользователя по email;Pass;;;
21;;Авторизация незарегистрированного пользователя по email;Pass;;;
22;;Авторизация незарегистрированного пользователя по телефону;Pass;;;
23;;Восстановление пароля по email авторизованного пользователя;Pass;;;
24;;Восстановление  пароля по email незарегистрированным пользователем;Fail;Заведен 1 баг с возможностью восстановления пароля незарегистрированным пользователем;;
25;;Работа кнопки «Я вспомнила пароль»;Pass;;;
26;Корзина;Добавление и удаление товара/товаров в корзину незарегистрированным пользователем;Pass;;;
27;;Добавление и удаление товара/товаров в корзину авторизованным пользователем;Pass;;;
28;Оформление заказа;Оформление заказа незарегистрированным покупателем;Pass;;;
29;;Оформление заказа авторизованным покупателем;Pass;;;
30;Избранное;Добавление и удаление товара/товаров в избранное;Раss/Fail;Заведен 1 баг-фича с неярким значком «Сердечко» на карточке товара;;
31;Разделы в верхней части сайта (header);Работа разделов верхней части сайта (header);Fail;Заведены 2 бага с неправильным поведением кнопки «Магазины»;;
32;Каталог ;Работа фильтров;Fail;Техника эквивалентного разбиения. Заеден 1 баг с полетевшей вёрсткой значка «Проценты» в сжатом состоянии экрана и 1 баг с неправильной работой выпадающего списка;;
33;Личный кабинет;Работа разделов в личном кабинете авторизованного пользователя;Pass;;;
34;Поиск ;Работа поля «Поиск»;Fail;Заведен 1 баг с некорректной работы поиска по фотографии;;
35;Работа кнопок на главной странице сайта;Работа кнопки «Таблица размеров»;Pass;;;
36;;Работа кнопки «Смотреть все коллекции»;Pass;;;
37;Реклама на главной странице сайта;Работа слайдера при переключении фотографий в поле « Lady Maria Plus Size»;Pass;;;
38;;Работа гипер-ссылок на рекламе после раздела «Каталог»;Pass;;;
39;;Проверка правильной работы функционала рекламных карточек в блоке «Популярные категории»;Pass;;;
40;;Проверка правильной работы функционала рекламных карточек в блоке «Хиты продаж этой недели»» ;Pass;Техника эквивалентного разбиения;;
41;;Работа слайдера в блоке «Хиты продаж этой недели»;Fail;Заведен 1 баг с некорректной работой слайдера в разделе рекламы «Хиты продаж этой недели»;;
42;;Проверка правильной работы функционала новостных постов в блоке «Блок Леди Мария» ;;Техника эквивалентного разбиения. Заеден 1 баг с неудачной версткой первой карточки блока «Блок Леди Мария» ;;
43;;Работа информационных разделов в блоке «Lady maria»;Fail;Заведен 1 баг с несоответствующим поведением системы при открытии разделов;;
44;;Работа раздела «Oтзывы»;Fail;Заведен 1 баг с нелогичным разделением текста в посте отзыва и 1 баг с некорректной работой кнопки в карточке фотоотзыва;;
45;;Работа слайдера в блоке «Фотоотзывы»;Pass;;;
46;;Работа слайдера в блоке «Отзывы»;Fail;Заведен 1 баг с некорректной работой слайдера в разделе с отзывами;;
47;;Работа разделов после блока «Oтзывы»;;Техника эквивалентного разбиения;;
48;Подписка;Корректная работа оформления подписки;Pass;;;
49;;Корректная работа ссылок на соц сети в разделе «Подписка»;Pass;;;
50;Карточка товара;Возможность просмотра видео-ролика о товаре;Раss;Техника эквивалентного разбиения;;
51;;Возможность просмотра товара детально в увеличении;Раss;;;
